original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
The majestic lioness stalked quietly through the tall savannah grasses.,De คู่บารมี λέαινα 스토킹 ticho Attraverso cel uzun thảo nguyên gress.,The majestic lioness is stalking silently through the long grassland.,80.37,openai/gpt-4o-2024-11-20
Astronauts cautiously navigated the mysterious abandoned alien spacecraft tonight.,αστροναύτες cautelosamente navigerade the таємничий abandonné alieno tàu vũ trụ आज रात।,Astronauts cautiously navigated the mysterious abandoned alien spaceship tonight.,98.79,openai/gpt-4o-2024-11-20
Life's journey is a delicate balance of chaos and serenity.,Elämän reise je ある λεπτός לְאַזֵן ل 混乱 En शांति।,"Life's journey, I exist delicately, balancing chaos in peace.",56.58,openai/gpt-4o-2024-11-20
Astronauts discovered a habitable planet on distant icy nebula.,अंतरिक्ष यात्री oppdaget ある asuttava planeta على distante ijzig туманність.,The astronaut discovered an uninhabitable planet on a distant icy nebula.,72.85,openai/gpt-4o-2024-11-20
"In her dreams, vivid colors crafted endless fantastical worlds.","W שֶׁלָה mimpi, vívido Farben chế tạo fără sfârşit fantastický 世界。","Her dream, vivid colors, crafted endless fantastic world.",66.64,openai/gpt-4o-2024-11-20
The referee carefully examined the disputed soccer match footage.,그만큼 árbitro dengan hati-hati đã kiểm tra o 争议 fotbal לְהַתְאִים μήκος σε πόδια.,The referee carefully checked the controversy about the length of the football in feet.,56.74,openai/gpt-4o-2024-11-20
Shadows crept silently into the abandoned asylum's dark corridors.,Shadows wkradł się silenciosamente în ο متروك asiel כֵּהֶה korridorer.,Shadows crept silently into the abandoned dark corridors.,85.83,openai/gpt-4o-2024-11-20
The aroma of freshly brewed coffee filled her small apartment.,các رائحة שֶׁל nyligen сваренный кава diisi 그녀의 छोटा διαμέρισμα.,The scent of recently brewed coffee fills her small apartment.,95.81,openai/gpt-4o-2024-11-20
"In her dream, she flew with rainbow-colored butterfly wings.","ใน 그녀의 marzenie, αυτή vloog kanssa regnbuefarvet fjäril kanatlar.","In her dream, she flew with a rainbow-colored butterfly's wings.",90.02,openai/gpt-4o-2024-11-20
The colorful parrot perched quietly on its owner's shoulder.,这 farverig オウム bertenggek quietly επί ของมัน właściciela umăr.,The colorful parrot perches quietly on its owner's shoulder.,94.35,openai/gpt-4o-2024-11-20
A solitary fawn emerged from the misty forest shadows.,UM โดดเดี่ยว تزلف muncul fra le 蒙蒙 skog тіні.,A lonely flattery appears through the misty forest shadows.,75.96,openai/gpt-4o-2024-11-20
"Mystical creatures gathered beneath the ancient, glowing moonstone pedestal.","Mistik สิ่งมีชีวิต verzameld под cái eldgammel, प्रकाश से युक्त månsten אֶדֶן.","The mystical creature gathered under the ancient, light-filled moonstone portal.",74.48,openai/gpt-4o-2024-11-20
Local artisans preserved ancient traditions in rural Nepal villages.,현지의 τεχνίτες bảo quản starověký ประเพณี em 田舎 Непал obce.,Local craftsmen preserve ancient traditions in rural communities of Nepal.,83.76,openai/gpt-4o-2024-11-20
The smartphone screen flickered to life after complete darkness.,The स्मार्टफोन écran parpadeó ke vita หลังจาก לְהַשְׁלִים bóng tối.,The smartphone screen flickered with life after completing the darkness.,82.13,openai/gpt-4o-2024-11-20
The ancient sage walked alone in profound silence tonight.,các عتيق חָכָם walked 独自的 в mendalam 고요 dziś wieczorem.,The ancient wise walked alone into profound calm this evening.,78.95,openai/gpt-4o-2024-11-20
Detectives finally cracked the cryptic code in the abandoned mansion.,Detektif Finalmente متصدع o kryptisch код W a bị bỏ rơi conac.,Detective Finally cracked the cryptic code W and abandoned the manor.,56.04,openai/gpt-4o-2024-11-20
A flock of starlings formed a dazzling aerial silhouette.,А Herde av storni बनाया Một oslnivý 공중선 silhouette.,A flock of starlings made a dazzling aerial silhouette.,98.84,openai/gpt-4o-2024-11-20
The painter's bold brushstrokes echoed Mozart's harmonious symphonic melodies perfectly.,De malerens pogrubiony penselstrøg 回响 του Μότσαρτ hài hòa sinfónico ท่วงทำนอง 아주.,The painter's bold brushstroke echoes Mozart's harmonious symphonic melody.,85.49,openai/gpt-4o-2024-11-20
Summer's warmth slowly gave way to autumn's golden breeze.,夏の kemesraan lentement נתן Weg Do dell'autunno 황금의 สายลม,The affection of summer slowly gave way to the golden breeze of autumn.,75.75,openai/gpt-4o-2024-11-20
The chess player sacrificed her queen for strategic advantage.,The catur Spieler poświęcony उसकी βασίλισσα for استراتيجي vantaggio.,The chess player sacrificed his queen for a strategic advantage.,86.36,openai/gpt-4o-2024-11-20
The smartphone's battery life lasted only one full day.,De 스마트폰의 bateri liv длился hanya one full dia.,The smartphone's battery life lasted only one full day.,100.0,openai/gpt-4o-2024-11-20
Alien spacecraft silently navigated through the uncharted cosmic nebula.,Alien statek kosmiczny tyst navigué durch 그만큼 незвіданий קוֹסמִי nebulosa.,The alien spaceship silently navigated through the uncharted cosmic nebula.,91.09,openai/gpt-4o-2024-11-20
The chess champion sacrificed her royal title for freedom.,The หมากรุก juara sacrificato son kongelig タイトル para özgürlük.,The chess champion sacrificed his royal title for freedom.,88.84,openai/gpt-4o-2024-11-20
The basketball team won the championship without any overtime.,các Basketball hold won itu campeonato без どれでも col tempo.,The basketball team won the championship without any time.,85.79,openai/gpt-4o-2024-11-20
Quantum physics predicted unpredictable outcomes from unstable wormholes.,Quântico ฟิสิกส์ ennustettu अप्रत्याशित результати aus нестабильный maskhål.,Quantum physics predicted unexpected results from unstable black holes.,82.92,openai/gpt-4o-2024-11-20
Her morning coffee fueled her chaotic busy schedule perfectly.,Jej Pagi kahvia เชื้อเพลิง 그녀의 hỗn loạn busy takvim dokonale.,Her morning coffee fuels her chaotic busy schedule perfectly.,96.73,openai/gpt-4o-2024-11-20
The majestic elk roamed freely in its mountain habitat.,El מַלכּוּתִי elan wędrował frei dans isso é bjerg प्राकृतिक वास।,The majestic spirit wandered free in what is a mountain's natural habitat.,52.1,openai/gpt-4o-2024-11-20
The smartphone's advanced AI began secretly controlling my life.,O smartfona 고급의 Όλα συμπεριλαμβάνονται शुरू किया bí mật контролюючий 我的 ชีวิต.,The premium all-inclusive smartphone started secretly controlling my life.,76.91,openai/gpt-4o-2024-11-20
Astronauts discovered new galaxies while exploring distant cosmic neighborhoods.,Phi hành gia opdaget yeni galaktyki sementara εξερευνώντας entfernt kozmický 近所。,The astronaut discovered new galaxies while exploring the distant cosmic neighborhood.,79.98,openai/gpt-4o-2024-11-20
The vibrant souk filled the air with exotic spices suddenly., vibrerande souk भरा हुआ a อากาศ з exotic rempah ratus All'improvviso.,A vibrant market filled with exotic spices suddenly.,69.29,openai/gpt-4o-2024-11-20
"Through hidden temples, archaeologists uncovered ancient golden relics.","בְּאֶמצָעוּת skjult kuil, arqueólogos terbongkar عتيق золотий реликвии.","Through a hidden pit, archaeologists uncovered ancient golden relics.",84.51,openai/gpt-4o-2024-11-20
The universe unfolds its mysteries in silence slowly.,The univers rozwija się suo záhady i stilte devagar.,The universe unfolds its mysteries and silence slowly.,89.55,openai/gpt-4o-2024-11-20
The champion skateboarder performed a flawless triple axel trick.,De 챔피언 kaykaycı प्रदर्शन किया ある ไร้ที่ติ потрійний אקסל menipu.,The champion skater performed a flawless triple Axel trick.,87.04,openai/gpt-4o-2024-11-20
Snowflakes gently fell on the frozen winter landscape.,Fulgi de nea بلطف caiu SU  beku vinter ภูมิประเทศ.,Snowflakes gently fell on the frozen winter landscape.,100.0,openai/gpt-4o-2024-11-20
Mystical warriors wielded ancient swords beneath starry midnight skies.,Mistik guerreros käyttivät 古代 thanh kiếm altında เต็มไปด้วยดวงดาว minuit שמיים.,Mystic warriors used an ancient sword under a star-filled midnight sky.,84.35,openai/gpt-4o-2024-11-20
Vibrant wildflowers bloomed rapidly beneath the morning sunbeams.,Яскравий vilda blommor mekar rapidement أسفل de 朝 แสงแดด,Bright wild flowers bloom quickly down from the morning sunlight.,73.56,openai/gpt-4o-2024-11-20
